Count,TLs,number,use
116290,25,31,1
146290,107,32,1
201290,50,33,1
201300,28,34,1
201842,44,35,1
203290,138,36,1
206342,24,37,1
300842,118,38,1
300868,113,39,1
301290,125,310,1
301300,100,311,1
301842,118,312,1
301868,63,313,1
306290,112,314,1
306300,130,315,1
306368,84,316,1
306842,27,317,1
306868,113,318,1
306891,100,319,1
401300,62,320,1
401368,75,321,1
403290,97,322,1
403342,150,323,1
406290,93,324,1
406300,56,325,1
406342,79,326,1
406391,100,327,1
411842,63,328,1
416290,77,329,1
416300,42,330,1
416842,23,331,1
431290,40,332,1
436290,96,333,1
506290,85,334,1
526290,66,335,1
566842,79,336,1
626290,131,337,1
703200,44,338,1
706342,87,339,1
706391,77,340,1
723290,53,341,1
726290,47,342,1
756891,61,343,1
786800,142,344,1
860290,105,345,1
863290,34,346,1
866290,130,347,1
886290,85,348,1
903290,39,349,1
906290,124,350,1
913290,68,351,1
886342,59,352,1
716290,23,353,1
716868,89,354,1
716290,67,355,1
716391,52,356,1
716290,144,357,1
716342,28,358,1
716290,67,359,1
716290,84,360,1
716290,113,361,1
716300,91,362,1
706290,34,363,1
716391,37,364,1
716391,115,365,1
716342,94,366,1
716290,54,367,1
716290,68,368,1
716290,108,369,1
716391,96,370,1
716391,126,371,1
716290,138,372,1
713290,108,373,1
711368,76,374,1
711300,63,375,1
711368,149,376,1
713290,131,377,1
716290,113,378,1
713290,136,379,1
716290,145,380,1
713200,114,381,1
711300,108,382,1
711300,31,383,1
716868,88,384,1
716868,119,385,1
