Count,TLs,number,use
116290,82,21,1
146290,64,22,1
201290,70,23,1
201300,49,24,1
201842,128,25,1
203290,129,26,1
206342,137,27,1
300842,50,28,1
300868,131,29,1
301290,123,210,1
301300,73,211,1
301842,112,212,1
301868,45,213,1
306290,98,214,1
306300,34,215,1
306368,82,216,1
306842,69,217,1
306868,54,218,1
306891,93,219,1
401300,80,220,1
401368,33,221,1
403290,147,222,1
403342,61,223,1
406290,102,224,1
406300,126,225,1
406342,59,226,1
406391,115,227,1
411842,150,228,1
416290,89,229,1
416300,130,230,1
416842,139,231,1
431290,26,232,1
436290,86,233,1
506290,109,234,1
526290,66,235,1
566842,98,236,1
626290,75,237,1
703200,67,238,1
706342,130,239,1
706391,95,240,1
723290,63,241,1
726290,139,242,1
756891,32,243,1
786800,64,244,1
860290,124,245,1
863290,66,246,1
866290,28,247,1
886290,83,248,1
903290,37,249,1
906290,93,250,1
913290,26,251,1
886342,149,252,1
716290,96,253,1
716868,109,254,1
716290,44,255,1
716391,44,256,1
716290,139,257,1
716342,51,258,1
716290,39,259,1
716290,117,260,1
716290,27,261,1
716300,97,262,1
706290,134,263,1
716391,51,264,1
716391,42,265,1
716342,26,266,1
716290,29,267,1
716290,64,268,1
716290,78,269,1
716391,56,270,1
716391,66,271,1
716290,54,272,1
713290,86,273,1
711368,72,274,1
711300,101,275,1
711368,147,276,1
713290,81,277,1
716290,24,278,1
713290,141,279,1
716290,58,280,1
713200,112,281,1
711300,25,282,1
711300,132,283,1
716868,54,284,1
716868,71,285,1
