Count,TLs,number,use
116290,46,41,1
146290,84,42,1
201290,65,43,1
201300,123,44,1
201842,87,45,1
203290,25,46,1
206342,110,47,1
300842,35,48,1
300868,107,49,1
301290,102,410,1
301300,58,411,1
301842,90,412,1
301868,135,413,1
306290,120,414,1
306300,137,415,1
306368,70,416,1
306842,88,417,1
306868,124,418,1
306891,97,419,1
401300,48,420,1
401368,26,421,1
403290,94,422,1
403342,118,423,1
406290,142,424,1
406300,65,425,1
406342,112,426,1
406391,44,427,1
411842,85,428,1
416290,141,429,1
416300,27,430,1
416842,39,431,1
431290,40,432,1
436290,37,433,1
506290,95,434,1
526290,33,435,1
566842,52,436,1
626290,123,437,1
703200,74,438,1
706342,147,439,1
706391,126,440,1
723290,60,441,1
726290,38,442,1
756891,102,443,1
786800,149,444,1
860290,85,445,1
863290,100,446,1
866290,28,447,1
886290,101,448,1
903290,127,449,1
906290,30,450,1
913290,90,451,1
886342,105,452,1
716290,92,453,1
716868,81,454,1
716290,144,455,1
716391,134,456,1
716290,73,457,1
716342,27,458,1
716290,35,459,1
716290,98,460,1
716290,141,461,1
716300,83,462,1
706290,143,463,1
716391,27,464,1
716391,114,465,1
716342,147,466,1
716290,145,467,1
716290,127,468,1
716290,51,469,1
716391,47,470,1
716391,71,471,1
716290,37,472,1
713290,90,473,1
711368,146,474,1
711300,49,475,1
711368,97,476,1
713290,71,477,1
716290,29,478,1
713290,103,479,1
716290,76,480,1
713200,106,481,1
711300,36,482,1
711300,95,483,1
716868,75,484,1
716868,119,485,1
